date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190327,0,Alashanmeng,Neimenggu,70.0,0.4,0.433,9.0,8.0,98.0,120.0,98.0,115.0,88.0,96.0,38.0,32.0,6.0,7.0
20190327,0,Ankang,Shanxi,85.0,0.7,0.7,44.0,31.0,31.0,118.0,62.0,98.0,117.0,77.0,36.0,28.0,13.0,16.0
20190327,0,Anqing,Anhui,53.0,0.6,0.6,35.0,24.0,50.0,101.0,67.0,92.0,50.0,43.0,36.0,30.0,8.0,7.0
20190327,0,Anshan,Liaoning,62.0,0.7859999999999999,0.7709999999999999,34.0,33.0,42.0,87.0,43.0,79.0,72.0,74.0,30.0,24.0,15.0,24.0
20190327,0,Anshun,Guizhou,29.0,0.65,0.6,12.0,13.0,40.0,88.0,53.0,65.0,25.0,32.0,20.0,27.0,6.0,10.0
20190327,0,Anyang,Henan,85.0,0.92,1.02,54.0,47.0,39.0,145.0,94.0,133.0,118.0,144.0,61.0,59.0,15.0,14.0
20190327,0,Baicheng,Jilin,43.0,0.3,0.3,10.0,12.0,84.0,99.0,84.0,96.0,28.0,29.0,11.0,10.0,12.0,12.0
20190327,0,Baise,Guangxi,81.0,1.4,0.9,39.0,21.0,4.0,45.0,6.0,42.0,108.0,69.0,59.0,45.0,22.0,14.0
20190327,0,Baishan,Jilin,57.0,0.7,0.7,14.0,13.0,55.0,101.0,69.0,97.0,62.0,85.0,26.0,17.0,12.0,17.0
20190327,0,Baiyin,Gansu,73.0,0.25,0.35,14.0,24.0,87.0,113.0,95.0,105.0,94.0,130.0,32.0,43.0,4.0,23.0
20190327,0,Baoding,Hebei,139.0,1.2,0.7829999999999999,36.0,45.0,73.0,102.0,81.0,93.0,171.0,105.0,106.0,51.0,16.0,15.0
20190327,0,Baoji,Shanxi,119.0,0.9,0.888,78.0,50.0,26.0,142.0,72.0,129.0,185.0,124.0,79.0,57.0,9.0,11.0
20190327,0,Baoshan,Yunnan,79.0,0.65,0.85,36.0,28.0,95.0,162.0,131.0,154.0,106.0,91.0,51.0,62.0,5.0,6.0
20190327,0,Baotou,Neimenggu,87.0,0.667,1.383,47.0,49.0,45.0,110.0,76.0,102.0,122.0,145.0,37.0,55.0,9.0,26.0
20190327,0,Bayannur,Neimenggu,141.0,0.5329999999999999,0.4,26.0,15.0,62.0,105.0,75.0,93.0,229.0,215.0,56.0,47.0,8.0,8.0
20190327,0,Bazhong,Sichuan,73.0,0.825,0.625,39.0,39.0,2.0,28.0,5.0,21.0,94.0,73.0,52.0,38.0,5.0,5.0
20190327,0,Beihai,Guangxi,39.0,0.8,1.15,13.0,21.0,45.0,60.0,39.0,41.0,16.0,65.0,27.0,43.0,6.0,8.0
20190327,0,Beijing,Beijing,113.0,1.092,0.792,46.0,42.0,45.0,96.0,68.0,84.0,135.0,120.0,84.0,46.0,6.0,9.0
20190327,0,Bengbu,Anhui,66.0,0.5,0.6,18.0,26.0,107.0,134.0,117.0,125.0,74.0,84.0,37.0,44.0,12.0,12.0
20190327,0,Benxi,Liaoning,51.0,0.867,0.7170000000000001,43.0,27.0,21.0,89.0,44.0,82.0,50.0,53.0,27.0,17.0,9.0,12.0
20190327,0,Bijie,Guizhou,97.0,0.8,0.6,30.0,22.0,20.0,94.0,45.0,77.0,125.0,113.0,72.0,43.0,9.0,12.0
20190327,0,Binzhou,Shandong,92.0,1.0,1.3330000000000002,54.0,64.0,64.0,134.0,83.0,120.0,132.0,139.0,67.0,80.0,31.0,30.0
20190327,0,Bozhou,Anhui,63.0,0.3,0.3,30.0,22.0,90.0,136.0,109.0,121.0,74.0,66.0,41.0,35.0,6.0,5.0
20190327,0,Cangzhou,Hebei,130.0,1.3330000000000002,1.067,70.0,69.0,19.0,119.0,47.0,95.0,170.0,168.0,98.0,91.0,13.0,26.0
20190327,0,Changchun,Jilin,46.0,0.54,0.48,26.0,23.0,59.0,88.0,60.0,83.0,45.0,41.0,22.0,15.0,9.0,8.0
20190327,0,Changde,Hunan,45.0,1.1,1.04,36.0,34.0,29.0,100.0,62.0,74.0,44.0,54.0,29.0,39.0,9.0,8.0
20190327,0,Changsha,Hunan,55.0,0.78,0.91,40.0,46.0,19.0,62.0,33.0,46.0,43.0,53.0,38.0,36.0,6.0,8.0
20190327,0,Changzhi,Shanxi,86.0,0.96,1.06,83.0,53.0,27.0,146.0,77.0,133.0,119.0,117.0,49.0,42.0,12.0,12.0
20190327,0,Changzhou,Jiangsu,66.0,0.867,0.883,46.0,46.0,77.0,113.0,72.0,87.0,75.0,79.0,47.0,49.0,13.0,14.0
20190327,0,Chaoyang,Liaoning,56.0,0.975,0.75,32.0,18.0,46.0,96.0,77.0,92.0,60.0,57.0,36.0,27.0,37.0,52.0
20190327,0,Chaozhou,Guangdong,48.0,0.9,0.9329999999999999,27.0,22.0,58.0,118.0,82.0,99.0,47.0,43.0,31.0,31.0,19.0,15.0
20190327,0,Chengde,Hebei,102.0,1.24,0.64,70.0,37.0,13.0,109.0,51.0,96.0,152.0,70.0,49.0,23.0,13.0,11.0
