date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20180103,0,Alashanmeng,Neimenggu,74.0,0.9,0.767,17.0,19.0,54.0,86.0,48.0,75.0,95.0,76.0,52.0,35.0,21.0,21.0
20180103,0,Ankang,Shanxi,141.0,1.067,1.433,23.0,31.0,71.0,76.0,71.0,72.0,146.0,148.0,107.0,96.0,13.0,22.0
20180103,0,Anqing,Anhui,131.0,1.025,1.175,47.0,57.0,39.0,81.0,58.0,59.0,131.0,231.0,99.0,171.0,9.0,14.0
20180103,0,Anshan,Liaoning,85.0,2.029,1.457,45.0,32.0,21.0,66.0,28.0,54.0,117.0,60.0,28.0,30.0,43.0,35.0
20180103,0,Anshun,Guizhou,15.0,0.925,0.825,28.0,25.0,3.0,37.0,15.0,29.0,7.0,31.0,6.0,22.0,26.0,33.0
20180103,0,Anyang,Henan,135.0,2.54,2.46,63.0,60.0,6.0,37.0,13.0,26.0,143.0,167.0,102.0,110.0,39.0,38.0
20180103,0,Baicheng,Jilin,36.0,0.55,0.7,15.0,20.0,63.0,78.0,51.0,68.0,35.0,45.0,11.0,23.0,8.0,15.0
20180103,0,Baise,Guangxi,105.0,1.7,1.7,35.0,37.0,22.0,53.0,37.0,47.0,103.0,120.0,78.0,97.0,26.0,35.0
20180103,0,Baishan,Jilin,55.0,1.15,1.3,33.0,27.0,27.0,69.0,47.0,62.0,57.0,76.0,37.0,55.0,56.0,41.0
20180103,0,Baiyin,Gansu,70.0,1.0,0.7,14.0,13.0,50.0,76.0,59.0,73.0,88.0,103.0,36.0,44.0,134.0,39.0
20180103,0,Baoding,Hebei,165.0,2.667,1.933,78.0,65.0,9.0,33.0,11.0,25.0,182.0,105.0,125.0,64.0,68.0,32.0
20180103,0,Baoji,Shanxi,284.0,2.438,2.0380000000000003,72.0,64.0,7.0,35.0,14.0,20.0,329.0,282.0,233.0,159.0,18.0,24.0
20180103,0,Baoshan,Yunnan,26.0,0.6,0.85,11.0,27.0,45.0,45.0,34.0,34.0,17.0,51.0,18.0,27.0,10.0,12.0
20180103,0,Baotou,Neimenggu,37.0,0.8,0.867,15.0,19.0,50.0,61.0,47.0,51.0,36.0,63.0,11.0,21.0,10.0,12.0
20180103,0,Bayannur,Neimenggu,33.0,0.433,0.467,17.0,15.0,46.0,65.0,50.0,61.0,32.0,40.0,19.0,14.0,15.0,12.0
20180103,0,Bazhong,Sichuan,55.0,0.65,1.2,22.0,36.0,51.0,54.0,26.0,26.0,57.0,124.0,37.0,78.0,4.0,6.0
20180103,0,Beihai,Guangxi,66.0,1.0,1.15,17.0,20.0,89.0,143.0,113.0,131.0,57.0,79.0,47.0,66.0,8.0,10.0
20180103,0,Beijing,Beijing,26.0,0.308,0.917,12.0,34.0,56.0,60.0,51.0,52.0,24.0,47.0,5.0,25.0,2.0,7.0
20180103,0,Bengbu,Anhui,62.0,0.6829999999999999,0.95,25.0,48.0,62.0,62.0,47.0,47.0,71.0,118.0,41.0,75.0,10.0,20.0
20180103,0,Benxi,Liaoning,69.0,1.367,1.3,41.0,35.0,11.0,58.0,20.0,50.0,85.0,76.0,45.0,38.0,33.0,35.0
20180103,0,Bijie,Guizhou,19.0,1.2,1.25,17.0,22.0,49.0,49.0,35.0,35.0,18.0,35.0,13.0,23.0,7.0,8.0
20180103,0,Binzhou,Shandong,49.0,0.633,0.9,38.0,37.0,31.0,47.0,33.0,43.0,48.0,64.0,28.0,37.0,53.0,23.0
20180103,0,Bozhou,Anhui,126.0,1.25,1.9,47.0,53.0,24.0,52.0,25.0,41.0,172.0,281.0,95.0,190.0,19.0,21.0
20180103,0,Cangzhou,Hebei,103.0,1.7,0.867,70.0,50.0,2.0,45.0,16.0,37.0,106.0,76.0,76.0,49.0,43.0,29.0
20180103,0,Changchun,Jilin,65.0,0.9,0.84,43.0,32.0,21.0,55.0,24.0,45.0,77.0,62.0,42.0,33.0,57.0,49.0
