date,hour,location,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190308,0,Alashanmeng,70.0,0.767,0.5670000000000001,12.0,9.0,106.0,134.0,117.0,129.0,57.0,52.0,50.0,33.0,13.0,9.0
20190308,0,Ankang,59.0,0.433,0.5670000000000001,14.0,21.0,91.0,118.0,88.0,102.0,66.0,88.0,19.0,55.0,15.0,17.0
20190308,0,Anqing,59.0,0.56,0.68,21.0,18.0,86.0,119.0,100.0,111.0,57.0,84.0,41.0,65.0,8.0,8.0
20190308,0,Anshan,68.0,2.343,1.757,62.0,47.0,32.0,98.0,57.0,84.0,83.0,111.0,43.0,50.0,45.0,33.0
20190308,0,Anshun,20.0,0.8,0.675,15.0,17.0,37.0,65.0,39.0,58.0,10.0,13.0,8.0,10.0,23.0,14.0
20190308,0,Anyang,63.0,0.84,1.14,43.0,32.0,48.0,107.0,77.0,97.0,74.0,92.0,43.0,31.0,11.0,16.0
20190308,0,Baicheng,69.0,0.3,0.45,30.0,22.0,35.0,106.0,41.0,91.0,86.0,70.0,49.0,36.0,11.0,12.0
20190308,0,Baise,23.0,0.8,1.0,16.0,18.0,32.0,44.0,36.0,39.0,22.0,23.0,15.0,16.0,10.0,12.0
20190308,0,Baishan,57.0,1.05,0.85,29.0,21.0,27.0,96.0,48.0,89.0,62.0,62.0,31.0,30.0,9.0,15.0
20190308,0,Baiyin,39.0,0.75,0.65,16.0,21.0,67.0,111.0,76.0,90.0,27.0,39.0,17.0,29.0,30.0,72.0
20190308,0,Baoding,93.0,0.867,0.7,52.0,34.0,38.0,112.0,76.0,103.0,119.0,83.0,69.0,43.0,18.0,12.0
20190308,0,Baoji,147.0,1.075,1.0,55.0,48.0,28.0,81.0,48.0,75.0,152.0,143.0,112.0,94.0,7.0,9.0
20190308,0,Baoshan,45.0,0.4,0.5,6.0,11.0,81.0,94.0,82.0,85.0,44.0,41.0,31.0,29.0,4.0,5.0
20190308,0,Baotou,139.0,1.183,0.983,59.0,51.0,43.0,108.0,54.0,91.0,159.0,88.0,106.0,54.0,49.0,38.0
20190308,0,Bayannur,88.0,0.9,0.867,22.0,27.0,79.0,91.0,65.0,78.0,123.0,104.0,61.0,46.0,23.0,20.0
20190308,0,Bazhong,93.0,0.55,0.525,28.0,26.0,64.0,110.0,85.0,93.0,86.0,66.0,69.0,49.0,4.0,4.0
20190308,0,Beihai,20.0,0.875,0.95,10.0,12.0,38.0,44.0,39.0,41.0,11.0,20.0,7.0,12.0,5.0,5.0
20190308,0,Beijing,71.0,0.5920000000000001,0.442,57.0,35.0,30.0,89.0,59.0,79.0,89.0,41.0,43.0,18.0,5.0,4.0
20190308,0,Bengbu,65.0,0.467,0.467,49.0,26.0,61.0,106.0,71.0,98.0,78.0,89.0,41.0,34.0,12.0,12.0
20190308,0,Benxi,78.0,1.2,0.933,46.0,34.0,23.0,89.0,46.0,78.0,104.0,70.0,51.0,31.0,14.0,18.0
20190308,0,Bijie,22.0,0.55,0.55,24.0,20.0,37.0,57.0,43.0,48.0,18.0,16.0,14.0,11.0,16.0,12.0
20190308,0,Binzhou,104.0,1.167,0.9,84.0,43.0,19.0,114.0,67.0,104.0,105.0,72.0,77.0,47.0,20.0,15.0
20190308,0,Bozhou,72.0,0.5,0.45,22.0,18.0,55.0,102.0,70.0,93.0,92.0,80.0,45.0,29.0,6.0,5.0
20190308,0,Cangzhou,94.0,0.733,0.6,29.0,33.0,74.0,109.0,81.0,100.0,99.0,64.0,70.0,37.0,21.0,16.0
20190308,0,Changchun,71.0,0.96,0.79,51.0,44.0,38.0,111.0,50.0,95.0,82.0,78.0,51.0,47.0,12.0,14.0
20190308,0,Changde,71.0,1.0,0.96,52.0,26.0,51.0,110.0,78.0,98.0,90.0,85.0,40.0,51.0,12.0,9.0
20190308,0,Changsha,68.0,0.65,1.02,43.0,44.0,51.0,106.0,67.0,91.0,84.0,75.0,35.0,53.0,7.0,7.0
20190308,0,Changzhi,53.0,0.52,0.76,20.0,28.0,87.0,120.0,96.0,109.0,53.0,78.0,25.0,30.0,20.0,17.0
20190308,0,Changzhou,42.0,1.013,0.878,49.0,36.0,32.0,75.0,45.0,63.0,41.0,86.0,24.0,58.0,12.0,11.0
20190308,0,Chaoyang,63.0,1.25,1.025,46.0,27.0,24.0,95.0,53.0,85.0,73.0,55.0,37.0,27.0,20.0,19.0
