date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20200210,0,Alashanmeng,Neimenggu,31.0,0.3,0.4,6.0,7.0,100.0,105.0,95.0,99.0,25.0,26.0,19.0,15.0,9.0,8.0
20200210,0,Ankang,Shanxi,55.0,0.7,0.75,10.0,10.0,40.0,89.0,53.0,73.0,40.0,44.0,39.0,37.0,5.0,5.0
20200210,0,Anqing,Anhui,65.0,0.65,0.57,35.0,18.0,47.0,120.0,78.0,101.0,51.0,34.0,47.0,35.0,6.0,7.0
20200210,0,Anshan,Liaoning,200.0,2.43,1.55,51.0,32.0,25.0,83.0,41.0,77.0,196.0,146.0,150.0,104.0,11.0,16.0
20200210,0,Anshun,Guizhou,55.0,0.53,0.47,9.0,6.0,58.0,66.0,62.0,63.0,41.0,25.0,39.0,24.0,41.0,22.0
20200210,0,Anyang,Henan,95.0,1.57,1.17,40.0,25.0,36.0,114.0,76.0,104.0,98.0,95.0,71.0,81.0,15.0,11.0
20200210,0,Baicheng,Jilin,48.0,0.8,0.7,9.0,8.0,76.0,91.0,82.0,87.0,48.0,44.0,22.0,24.0,9.0,10.0
20200210,0,Baise,Guangxi,23.0,0.85,0.8,7.0,9.0,39.0,51.0,42.0,44.0,23.0,23.0,13.0,16.0,13.0,7.0
20200210,0,Baishan,Jilin,63.0,2.1,1.6,15.0,15.0,66.0,93.0,74.0,80.0,63.0,63.0,45.0,37.0,26.0,31.0
20200210,0,Baiyin,Gansu,69.0,0.9,0.85,17.0,14.0,57.0,97.0,75.0,88.0,59.0,55.0,50.0,42.0,45.0,24.0
20200210,0,Baoding,Hebei,245.0,2.55,2.43,55.0,32.0,21.0,95.0,52.0,79.0,228.0,230.0,195.0,196.0,8.0,10.0
20200210,0,Baoji,Shanxi,103.0,0.83,0.69,22.0,19.0,44.0,101.0,70.0,90.0,83.0,64.0,77.0,55.0,8.0,14.0
20200210,0,Baoshan,Yunnan,44.0,0.55,0.55,6.0,7.0,76.0,98.0,85.0,92.0,23.0,31.0,31.0,30.0,5.0,6.0
20200210,0,Baotou,Neimenggu,261.0,3.6,3.18,95.0,69.0,14.0,114.0,56.0,91.0,264.0,187.0,211.0,152.0,31.0,42.0
20200210,0,Bayannur,Neimenggu,46.0,0.65,0.5,9.0,8.0,76.0,93.0,82.0,88.0,46.0,66.0,25.0,21.0,7.0,7.0
20200210,0,Bazhong,Sichuan,89.0,0.87,0.8,17.0,14.0,23.0,82.0,37.0,65.0,78.0,56.0,66.0,47.0,3.0,3.0
20200210,0,Beihai,Guangxi,31.0,0.8,0.8,7.0,6.0,29.0,39.0,32.0,35.0,22.0,20.0,22.0,17.0,7.0,7.0
20200210,0,Beijing,Beijing,203.0,1.7,1.36,58.0,43.0,16.0,76.0,41.0,60.0,133.0,109.0,153.0,122.0,3.0,4.0
20200210,0,Bengbu,Anhui,105.0,0.82,0.72,15.0,14.0,77.0,102.0,82.0,91.0,95.0,68.0,79.0,60.0,8.0,8.0
20200210,0,Benxi,Liaoning,108.0,2.05,1.47,42.0,35.0,27.0,88.0,46.0,77.0,110.0,95.0,81.0,68.0,19.0,21.0
20200210,0,Bijie,Guizhou,55.0,0.7,0.7,8.0,7.0,46.0,51.0,46.0,49.0,42.0,19.0,39.0,16.0,8.0,7.0
20200210,0,Binzhou,Shandong,177.0,1.57,1.57,41.0,33.0,52.0,119.0,76.0,102.0,149.0,148.0,134.0,133.0,35.0,25.0
