date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20180315,0,Alashanmeng,Neimenggu,182.0,0.5,0.433,9.0,9.0,85.0,132.0,113.0,124.0,311.0,104.0,66.0,39.0,11.0,13.0
20180315,0,Ankang,Shanxi,67.0,0.867,1.167,29.0,32.0,62.0,147.0,84.0,118.0,81.0,86.0,47.0,47.0,12.0,19.0
20180315,0,Anqing,Anhui,59.0,0.625,0.675,27.0,31.0,78.0,120.0,93.0,107.0,44.0,61.0,41.0,47.0,9.0,12.0
20180315,0,Anshan,Liaoning,86.0,1.4569999999999999,1.514,30.0,42.0,42.0,118.0,64.0,102.0,93.0,103.0,63.0,74.0,17.0,21.0
20180315,0,Anshun,Guizhou,80.0,0.775,0.675,29.0,18.0,60.0,132.0,94.0,116.0,75.0,44.0,58.0,35.0,42.0,20.0
20180315,0,Anyang,Henan,69.0,1.34,1.36,23.0,27.0,62.0,154.0,100.0,132.0,86.0,106.0,48.0,67.0,14.0,19.0
20180315,0,Baicheng,Jilin,46.0,0.2,0.4,6.0,15.0,89.0,99.0,91.0,94.0,37.0,59.0,13.0,37.0,9.0,11.0
20180315,0,Baise,Guangxi,63.0,1.3,1.35,30.0,23.0,38.0,109.0,71.0,91.0,51.0,71.0,44.0,46.0,20.0,27.0
20180315,0,Baishan,Jilin,105.0,0.8,1.45,8.0,27.0,147.0,176.0,164.0,166.0,60.0,90.0,43.0,67.0,15.0,26.0
20180315,0,Baiyin,Gansu,75.0,1.1,1.05,35.0,34.0,73.0,126.0,104.0,117.0,97.0,104.0,34.0,36.0,132.0,33.0
20180315,0,Baoding,Hebei,218.0,1.4,1.883,50.0,61.0,53.0,171.0,89.0,122.0,220.0,295.0,167.0,217.0,18.0,23.0
20180315,0,Baoji,Shanxi,94.0,0.875,0.9129999999999999,70.0,49.0,30.0,144.0,81.0,128.0,135.0,92.0,56.0,42.0,11.0,19.0
20180315,0,Baoshan,Yunnan,71.0,0.65,0.75,11.0,17.0,104.0,137.0,123.0,131.0,62.0,68.0,42.0,42.0,3.0,7.0
20180315,0,Baotou,Neimenggu,500.0,0.917,1.6669999999999998,9.0,40.0,79.0,102.0,74.0,84.0,875.0,354.0,75.0,72.0,5.0,25.0
20180315,0,Bayannur,Neimenggu,181.0,0.3,0.733,10.0,28.0,82.0,86.0,76.0,78.0,310.0,357.0,32.0,60.0,14.0,22.0
20180315,0,Bazhong,Sichuan,97.0,0.975,0.95,48.0,34.0,31.0,138.0,67.0,114.0,112.0,99.0,72.0,64.0,4.0,5.0
20180315,0,Beihai,Guangxi,41.0,0.65,0.725,12.0,14.0,80.0,87.0,80.0,81.0,37.0,42.0,28.0,30.0,8.0,8.0
20180315,0,Beijing,Beijing,262.0,2.125,2.575,58.0,77.0,46.0,107.0,46.0,84.0,,,211.0,239.0,10.0,17.0
20180315,0,Bengbu,Anhui,58.0,0.633,0.7829999999999999,22.0,33.0,80.0,131.0,99.0,116.0,59.0,91.0,40.0,57.0,11.0,16.0
20180315,0,Benxi,Liaoning,182.0,1.45,1.45,25.0,35.0,42.0,139.0,92.0,125.0,180.0,88.0,137.0,66.0,14.0,28.0
20180315,0,Bijie,Guizhou,99.0,1.2,1.1,52.0,30.0,21.0,140.0,60.0,119.0,145.0,75.0,62.0,43.0,11.0,15.0
20180315,0,Binzhou,Shandong,116.0,1.433,1.2329999999999999,45.0,49.0,84.0,228.0,116.0,185.0,125.0,116.0,87.0,78.0,34.0,27.0
20180315,0,Bozhou,Anhui,86.0,0.75,0.75,35.0,31.0,60.0,131.0,78.0,121.0,95.0,105.0,63.0,66.0,12.0,14.0
20180315,0,Cangzhou,Hebei,234.0,1.4,0.9,117.0,50.0,17.0,178.0,100.0,159.0,257.0,129.0,183.0,77.0,33.0,27.0
20180315,0,Changchun,Jilin,38.0,0.71,1.45,22.0,41.0,73.0,73.0,42.0,43.0,30.0,136.0,26.0,101.0,6.0,15.0
20180315,0,Changde,Hunan,59.0,0.925,0.96,35.0,25.0,33.0,75.0,52.0,63.0,62.0,51.0,41.0,36.0,12.0,11.0
20180315,0,Changsha,Hunan,64.0,0.88,0.91,36.0,36.0,34.0,82.0,49.0,72.0,43.0,58.0,45.0,52.0,9.0,16.0
20180315,0,Changzhi,Shanxi,93.0,0.96,1.06,21.0,34.0,137.0,183.0,149.0,164.0,98.0,112.0,69.0,73.0,22.0,19.0
20180315,0,Changzhou,Jiangsu,88.0,1.2329999999999999,1.1440000000000001,86.0,71.0,13.0,55.0,25.0,41.0,98.0,90.0,65.0,57.0,21.0,19.0
20180315,0,Chaoyang,Liaoning,52.0,0.675,1.275,10.0,31.0,92.0,133.0,101.0,115.0,44.0,163.0,30.0,103.0,8.0,35.0
20180315,0,Chaozhou,Guangdong,110.0,1.167,1.2670000000000001,37.0,43.0,73.0,100.0,77.0,83.0,84.0,95.0,82.0,72.0,27.0,25.0
20180315,0,Chengde,Hebei,108.0,0.86,2.36,18.0,61.0,102.0,158.0,98.0,130.0,163.0,266.0,66.0,152.0,9.0,23.0
20180315,0,Chengdu,Sichuan,132.0,1.756,1.411,108.0,78.0,41.0,185.0,100.0,157.0,158.0,162.0,100.0,108.0,13.0,14.0
20180315,0,Chenzhou,Hunan,42.0,1.1,1.12,15.0,24.0,67.0,102.0,49.0,91.0,41.0,57.0,16.0,29.0,7.0,9.0
20180315,0,Chifeng,Neimenggu,59.0,0.5,1.325,7.0,38.0,66.0,100.0,63.0,73.0,65.0,200.0,19.0,105.0,7.0,41.0
20180315,0,Chizhou,Anhui,44.0,0.5670000000000001,0.733,39.0,43.0,62.0,118.0,70.0,99.0,43.0,55.0,28.0,36.0,12.0,13.0
20180315,0,Chongqing,Chongqing,72.0,1.224,1.288,66.0,48.0,26.0,134.0,72.0,106.0,74.0,83.0,52.0,58.0,11.0,11.0
20180315,0,Chongzuo,Guangxi,103.0,0.8,0.7,38.0,35.0,23.0,66.0,35.0,48.0,96.0,73.0,76.0,58.0,7.0,12.0
20180315,0,Chuzhou,Anhui,71.0,0.733,0.867,51.0,50.0,35.0,117.0,65.0,102.0,74.0,88.0,51.0,54.0,12.0,12.0
20180315,0,Dalian,Liaoning,42.0,0.77,0.84,24.0,35.0,63.0,117.0,60.0,96.0,37.0,49.0,29.0,36.0,7.0,10.0
20180315,0,Dandong,Liaoning,37.0,0.5,0.95,4.0,21.0,81.0,101.0,73.0,85.0,17.0,55.0,8.0,39.0,8.0,26.0
20180315,0,Daqing,Heilongjiang,48.0,0.44,0.66,12.0,22.0,90.0,113.0,95.0,104.0,30.0,47.0,14.0,33.0,13.0,19.0
20180315,0,Datong,Shanxi,500.0,0.9329999999999999,2.617,6.0,37.0,74.0,128.0,78.0,97.0,867.0,271.0,68.0,73.0,8.0,55.0
20180315,0,Dazhou,Sichuan,77.0,1.06,1.38,53.0,45.0,36.0,97.0,61.0,80.0,94.0,108.0,56.0,75.0,11.0,14.0
20180315,0,Deyang,Sichuan,226.0,1.575,1.275,101.0,70.0,36.0,189.0,104.0,159.0,262.0,211.0,175.0,143.0,13.0,13.0
20180315,0,Dezhou,Shandong,86.0,1.2,1.2329999999999999,19.0,26.0,90.0,178.0,130.0,165.0,84.0,105.0,63.0,62.0,9.0,15.0
20180315,0,Dingxi,Gansu,81.0,1.05,0.9,75.0,43.0,18.0,130.0,79.0,119.0,100.0,66.0,59.0,36.0,18.0,28.0
20180315,0,Dongguan,Guangdong,59.0,0.96,0.96,65.0,55.0,15.0,99.0,30.0,76.0,53.0,51.0,41.0,36.0,7.0,10.0
20180315,0,Dongying,Shandong,150.0,1.375,1.1,69.0,47.0,46.0,192.0,96.0,172.0,190.0,136.0,115.0,70.0,30.0,36.0
20180315,0,Ezhou,Hubei,59.0,1.9669999999999999,1.767,40.0,41.0,50.0,89.0,68.0,78.0,65.0,74.0,41.0,49.0,22.0,25.0
20180315,0,Fangchenggang,Guangxi,36.0,0.667,0.8,31.0,32.0,37.0,57.0,33.0,50.0,29.0,48.0,25.0,32.0,12.0,12.0
20180315,0,Foshan,Guangdong,56.0,0.7859999999999999,0.7,60.0,48.0,5.0,85.0,22.0,67.0,59.0,53.0,33.0,30.0,9.0,10.0
20180315,0,Fushun,Liaoning,68.0,0.867,1.1,22.0,44.0,59.0,149.0,83.0,135.0,83.0,128.0,48.0,93.0,11.0,23.0
20180315,0,Fuxin,Liaoning,42.0,0.42,1.18,12.0,34.0,81.0,113.0,83.0,99.0,39.0,178.0,27.0,145.0,23.0,82.0
20180315,0,Fuyang,Anhui,70.0,0.767,0.767,33.0,37.0,44.0,102.0,52.0,85.0,80.0,94.0,50.0,57.0,4.0,6.0
20180315,0,Fuzhou,Jiangxi,72.0,0.76,0.76,21.0,28.0,55.0,101.0,67.0,76.0,72.0,78.0,52.0,57.0,6.0,22.0
20180315,0,Ganzhou,Jiangxi,55.0,1.32,1.28,26.0,34.0,59.0,114.0,73.0,101.0,45.0,69.0,38.0,43.0,11.0,17.0
20180315,0,Guang'an,Sichuan,133.0,1.56,1.183,68.0,45.0,22.0,121.0,68.0,92.0,170.0,116.0,101.0,72.0,11.0,16.0
20180315,0,Guangyuan,Sichuan,89.0,0.925,0.875,57.0,45.0,64.0,154.0,103.0,132.0,113.0,88.0,66.0,49.0,23.0,24.0
20180315,0,Guangzhou,Guangdong,57.0,0.782,0.736,83.0,64.0,4.0,87.0,22.0,69.0,62.0,55.0,39.0,35.0,18.0,14.0
20180315,0,Guigang,Guangxi,54.0,0.775,0.975,27.0,36.0,34.0,53.0,32.0,41.0,56.0,84.0,35.0,57.0,16.0,17.0
20180315,0,Guilin,Guangxi,55.0,1.3,0.9,46.0,35.0,11.0,79.0,24.0,65.0,47.0,50.0,38.0,41.0,6.0,6.0
20180315,0,Guiyang,Guizhou,67.0,0.7,0.6,45.0,32.0,38.0,123.0,73.0,106.0,76.0,45.0,48.0,28.0,14.0,12.0
20180315,0,Guyuan,Ningxia,60.0,0.5670000000000001,0.5329999999999999,44.0,35.0,67.0,134.0,99.0,128.0,67.0,64.0,36.0,30.0,10.0,9.0
20180315,0,Haikou,Hainan,28.0,0.56,0.58,23.0,20.0,26.0,44.0,31.0,35.0,27.0,27.0,16.0,15.0,4.0,4.0
20180315,0,Handan,Hebei,116.0,0.7,1.15,20.0,31.0,60.0,155.0,107.0,142.0,114.0,191.0,87.0,142.0,7.0,20.0
20180315,0,Hangzhou,Zhejiang,80.0,1.209,0.973,70.0,74.0,4.0,61.0,6.0,40.0,108.0,91.0,58.0,47.0,8.0,11.0
20180315,0,Hanzhong,Shanxi,120.0,1.15,1.4,62.0,44.0,35.0,152.0,72.0,120.0,153.0,97.0,90.0,60.0,15.0,16.0
20180315,0,Harbin,Heilongjiang,35.0,0.75,0.9,18.0,50.0,85.0,90.0,68.0,69.0,18.0,47.0,7.0,37.0,22.0,34.0
20180315,0,Hebi,Henan,75.0,1.1,1.1,25.0,34.0,69.0,152.0,93.0,127.0,85.0,105.0,54.0,61.0,16.0,20.0
20180315,0,Hechi,Guangxi,70.0,0.8,0.767,39.0,26.0,5.0,73.0,30.0,60.0,87.0,52.0,36.0,24.0,7.0,7.0
20180315,0,Hefei,Anhui,52.0,0.7440000000000001,0.8,35.0,37.0,68.0,106.0,73.0,93.0,52.0,68.0,35.0,44.0,4.0,6.0
20180315,0,Hegang,Heilongjiang,49.0,0.33299999999999996,0.875,6.0,21.0,100.0,119.0,97.0,101.0,39.0,51.0,15.0,35.0,6.0,13.0
20180315,0,Heihe,Heilongjiang,51.0,0.433,0.5,7.0,10.0,95.0,106.0,100.0,103.0,25.0,34.0,15.0,17.0,8.0,9.0
20180315,0,Hengshui,Hebei,87.0,0.767,0.867,12.0,20.0,76.0,161.0,109.0,142.0,87.0,116.0,64.0,75.0,12.0,14.0
